"Plot Title: Brad_DG_2023-06-01"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
262,06/01/23 10:40:11 AM,227.2,227.0,72.01,,,,
263,06/01/23 10:40:16 AM,238.7,238.7,72.01,,,,
264,06/01/23 10:40:21 AM,248.8,249.0,72.01,,,,
265,06/01/23 10:40:26 AM,269.5,270.3,72.01,,,,
266,06/01/23 10:40:31 AM,300.6,302.6,72.00,,,,
267,06/01/23 10:40:36 AM,303.1,304.8,72.01,,,,
268,06/01/23 10:40:41 AM,318.4,320.6,72.01,,,,
269,06/01/23 10:40:46 AM,332.4,334.3,72.01,,,,
270,06/01/23 10:40:51 AM,341.5,343.5,72.01,,,,
271,06/01/23 10:40:56 AM,341.7,343.5,72.01,,,,
272,06/01/23 10:41:01 AM,346.7,348.6,72.01,,,,
273,06/01/23 10:41:06 AM,343.3,345.3,72.01,,,,
274,06/01/23 10:41:11 AM,339.0,341.3,72.01,,,,
275,06/01/23 10:41:16 AM,335.5,337.6,72.01,,,,
276,06/01/23 10:41:21 AM,332.3,334.3,72.01,,,,
277,06/01/23 10:41:26 AM,329.1,330.9,72.01,,,,
278,06/01/23 10:41:31 AM,319.8,321.0,72.01,,,,
279,06/01/23 10:41:36 AM,314.0,315.5,72.01,,,,
280,06/01/23 10:41:41 AM,306.2,307.8,72.01,,,,
281,06/01/23 10:41:46 AM,295.8,297.1,72.01,,,,
282,06/01/23 10:41:51 AM,291.1,291.9,72.03,,,,
283,06/01/23 10:41:56 AM,287.1,287.9,72.01,,,,
284,06/01/23 10:42:01 AM,279.3,280.5,72.03,,,,
285,06/01/23 10:42:06 AM,272.6,273.2,72.03,,,,
286,06/01/23 10:42:11 AM,270.4,271.0,72.01,,,,
287,06/01/23 10:42:16 AM,262.4,263.3,72.01,,,,
288,06/01/23 10:42:21 AM,258.4,258.9,72.01,,,,
289,06/01/23 10:42:26 AM,254.9,255.6,72.01,,,,
290,06/01/23 10:42:31 AM,250.2,250.5,72.00,,,,
291,06/01/23 10:42:36 AM,248.6,249.0,72.01,,,,
292,06/01/23 10:42:41 AM,244.9,245.3,72.01,,,,
293,06/01/23 10:42:46 AM,241.2,241.3,72.00,,,,
294,06/01/23 10:42:51 AM,237.7,237.6,72.00,,,,
295,06/01/23 10:42:56 AM,234.5,234.3,72.00,,,,
296,06/01/23 10:43:01 AM,233.4,233.2,72.00,,,,
297,06/01/23 10:43:06 AM,229.7,229.6,72.00,,,,
298,06/01/23 10:43:11 AM,227.2,227.0,72.00,,,,
299,06/01/23 10:43:16 AM,225.8,225.5,72.00,,,,
300,06/01/23 10:43:21 AM,223.8,223.3,72.00,,,,
301,06/01/23 10:43:26 AM,222.0,221.5,72.00,,,,
302,06/01/23 10:43:31 AM,221.0,220.8,72.00,,,,
303,06/01/23 10:43:36 AM,219.0,218.9,72.00,,,,
304,06/01/23 10:43:41 AM,218.3,217.8,72.00,,,,
305,06/01/23 10:43:46 AM,216.5,216.4,71.98,,,,
306,06/01/23 10:43:51 AM,215.6,215.3,72.00,,,,
307,06/01/23 10:43:56 AM,215.6,215.3,72.00,,,,
308,06/01/23 10:44:01 AM,214.9,214.5,72.00,,,,
309,06/01/23 10:44:06 AM,212.7,212.4,72.01,,,,
310,06/01/23 10:44:11 AM,212.0,211.3,72.00,,,,
311,06/01/23 10:44:16 AM,211.2,210.9,72.01,,,,
312,06/01/23 10:44:21 AM,211.2,210.9,72.01,,,,
313,06/01/23 10:44:26 AM,210.7,210.2,72.01,,,,
314,06/01/23 10:44:31 AM,209.7,209.1,72.01,,,,
315,06/01/23 10:44:36 AM,210.5,210.2,72.03,,,,
316,06/01/23 10:44:41 AM,209.1,208.7,72.01,,,,
317,06/01/23 10:44:46 AM,209.2,208.7,72.03,,,,
318,06/01/23 10:44:51 AM,208.5,208.0,72.01,,,,
319,06/01/23 10:44:56 AM,207.7,207.2,72.01,,,,
320,06/01/23 10:45:01 AM,208.1,207.6,72.03,,,,
321,06/01/23 10:45:06 AM,206.8,206.1,72.03,,,,
322,06/01/23 10:45:11 AM,206.5,205.8,72.03,,,,
