Date,Eosense,Vaisala,K30
2024-06-17T05:30:00Z,2500.032,509.6847,145.1467
2024-06-17T05:45:00Z,2499.998,509.595,145.282
2024-06-17T06:00:00Z,2484.736,484.8269,145.1126
2024-06-17T06:15:00Z,2470.14,511.1508,145.3224
2024-06-17T06:30:00Z,2470.014,487.1304,145.2836
2024-06-17T06:45:00Z,2469.708,486.2328,145.2864
2024-06-17T07:00:00Z,2454.457,516.0774,145.2689
2024-06-17T07:15:00Z,2454.711,519.8701,145.2645
2024-06-17T07:30:00Z,2454.577,507.5691,145.3184
2024-06-17T07:45:00Z,2439.431,499.3077,145.2228
2024-06-17T08:00:00Z,2439.799,520.1219,145.1544
2024-06-17T08:15:00Z,2424.369,505.6437,145.3495
