"Plot Title: Bradford_7DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733142, SEN S/N: 10733142)","Temp, °F (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Attached (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Detached (LGR S/N: 10733142, SEN S/N: 10733142)","Host Connected (LGR S/N: 10733142, SEN S/N: 10733142)","Stopped (LGR S/N: 10733142, SEN S/N: 10733142)","End Of File (LGR S/N: 10733142, SEN S/N: 10733142)"
274,04/29/24 09:00:00 PM,-0.03,69.51,,,,,
275,04/29/24 10:00:00 PM,-0.03,69.22,,,,,
276,04/29/24 11:00:00 PM,-0.03,69.04,,,,,
277,04/30/24 12:00:00 AM,-0.03,68.79,,,,,
278,04/30/24 01:00:00 AM,0.04,68.58,,,,,
279,04/30/24 02:00:00 AM,0.25,68.36,,,,,
280,04/30/24 03:00:00 AM,0.86,67.96,,,,,
281,04/30/24 04:00:00 AM,0.85,67.57,,,,,
282,04/30/24 05:00:00 AM,0.40,67.28,,,,,
283,04/30/24 06:00:00 AM,-0.03,67.28,,,,,
284,04/30/24 07:00:00 AM,-0.03,67.64,,,,,
285,04/30/24 08:00:00 AM,-0.03,68.29,,,,,
286,04/30/24 09:00:00 AM,0.09,69.04,,,,,
287,04/30/24 10:00:00 AM,0.49,70.41,,,,,
288,04/30/24 11:00:00 AM,1.02,71.78,,,,,
289,04/30/24 12:00:00 PM,0.96,73.11,,,,,
290,04/30/24 01:00:00 PM,0.78,73.15,,,,,
291,04/30/24 02:00:00 PM,0.33,73.76,,,,,
292,04/30/24 03:00:00 PM,0.28,73.72,,,,,
293,04/30/24 04:00:00 PM,0.09,73.83,,,,,
294,04/30/24 05:00:00 PM,0.07,73.62,,,,,
295,04/30/24 06:00:00 PM,-0.03,73.22,,,,,
296,04/30/24 07:00:00 PM,-0.03,72.68,,,,,
297,04/30/24 08:00:00 PM,0.04,71.89,,,,,
298,04/30/24 09:00:00 PM,-0.01,71.35,,,,,
299,04/30/24 10:00:00 PM,-0.03,71.02,,,,,
300,04/30/24 11:00:00 PM,-0.03,70.81,,,,,
301,05/01/24 12:00:00 AM,-0.03,70.48,,,,,
302,05/01/24 01:00:00 AM,-0.03,70.05,,,,,
303,05/01/24 02:00:00 AM,-0.03,69.55,,,,,
304,05/01/24 03:00:00 AM,-0.02,69.08,,,,,
305,05/01/24 04:00:00 AM,-0.01,68.68,,,,,
306,05/01/24 05:00:00 AM,-0.02,68.25,,,,,
307,05/01/24 06:00:00 AM,0.00,67.86,,,,,
308,05/01/24 07:00:00 AM,-0.03,68.00,,,,,
309,05/01/24 08:00:00 AM,-0.03,69.33,,,,,
310,05/01/24 09:00:00 AM,-0.02,70.74,,,,,
311,05/01/24 10:00:00 AM,0.19,71.67,,,,,
312,05/01/24 11:00:00 AM,0.16,75.24,,,,,
313,05/01/24 12:00:00 PM,0.40,77.00,,,,,
314,05/01/24 01:00:00 PM,0.10,75.81,,,,,
315,05/01/24 02:00:00 PM,0.02,75.78,,,,,
316,05/01/24 03:00:00 PM,-0.01,76.06,,,,,
317,05/01/24 04:00:00 PM,-0.01,77.07,,,,,
318,05/01/24 05:00:00 PM,0.03,75.67,,,,,
319,05/01/24 06:00:00 PM,-0.03,74.95,,,,,
320,05/01/24 07:00:00 PM,-0.03,74.44,,,,,
321,05/01/24 08:00:00 PM,-0.03,73.62,,,,,
322,05/01/24 09:00:00 PM,-0.03,72.79,,,,,
323,05/01/24 10:00:00 PM,-0.03,71.89,,,,,
324,05/01/24 11:00:00 PM,-0.02,71.24,,,,,
325,05/02/24 12:00:00 AM,-0.03,70.66,,,,,
326,05/02/24 01:00:00 AM,-0.01,70.12,,,,,
327,05/02/24 02:00:00 AM,-0.02,69.73,,,,,
328,05/02/24 03:00:00 AM,0.00,69.26,,,,,
329,05/02/24 04:00:00 AM,0.25,69.04,,,,,
330,05/02/24 05:00:00 AM,0.30,68.76,,,,,
